# id_1  cl_ra  cl_dec z       0.3Mpc_kT_1 0.3Mpc_kT_p_1 0.3Mpc_kT_m_1 bcg_ra bcg_dec bcg_redshift bcgoffset          XLSSC_no csb    sigcsb status disturbed
  n0016 36.377 -4.239 0.142   1.85        0.149         0.156         36.378 -4.238  0.143        12.718468634154325 41       0.2987 0.0252 SCC    no       
  n0022 36.353 -4.679 0.2649  2.54        0.206         0.223         36.353 -4.679  0.264        0.0                25       0.2786 0.0267 SCC    no       
  n0024 36.916 -4.857 0.2932  2.13        0.1           0.0731        36.918 -4.859  0.295        44.738100132256086 22       0.346  0.026  SCC    yes      
  n0025 37.014 -4.851 0.2954  2.72        0.426         0.296         37.019 -4.85   0.294        80.97573119455116  27       0.0468 0.0247 NCC    yes      
  n0026 36.541 -4.968 0.0538  2.53        0.493         0.399         36.54  -4.968  0.05         3.75495040510128   11       0.1273 0.0088 WCC    no       
  n0032 35.438 -3.772 0.4291  4.83        0.476         0.453         35.438 -3.767  0.429        101.47318568047022 6        0.0801 0.0104 WCC    yes      
  n0080 36.32  -5.888 0.0535  1.97        0.148         0.154         36.319 -5.887  0.054        5.289703599286421  54       0.1111 0.0134 WCC    no       
  n0081 36.452 -5.895 0.2321  3.03        0.324         0.352         36.455 -5.896  0.233        42.08321087399809  55       0.1134 0.0194 WCC    no       
  n0083 35.485 -5.757 0.2592  2.1         0.466         0.283         35.485 -5.759  0.259        29.015707656951715 61       0.0994 0.0329 WCC    no       
  n0087 33.668 -4.552 0.1389  4.77        0.159         0.156         33.671 -4.567  0.14         135.2460139445299  60       0.0226 8.0E-4 NCC    yes      
  n0089 33.87  -4.681 0.34786 3.25        0.497         0.342         33.868 -4.678  0.347        64.10879929808827  56       0.0557 0.0166 NCC    yes      
  n0091 34.051 -4.242 0.1532  2.2         0.296         0.135         34.05  -4.239  0.154        30.347469567352732 57       0.1707 0.0177 SCC    yes      
  n0214 37.72  -4.348 0.1414  1.6         0.066         0.0782        37.721 -4.348  0.141        8.945693137823113  87       0.4154 0.0293 SCC    no       
  n0216 37.611 -4.581 0.2951  2.46        0.571         0.399         37.616 -4.564  0.295        282.04851028047443 88       0.0267 0.0036 NCC    yes      
  n0220 37.121 -4.857 0.1411  1.12        0.0782        0.0644        37.122 -4.857  0.142        8.95742473203281   90       0.417  0.0418 SCC    no       
  n0225 37.926 -4.881 0.186   5.08        0.178         0.176         37.922 -4.883  0.185        50.12724303130067  91       0.025  0.0010 NCC    no       
  n0233 32.071 -7.276 0.4318  3.13        0.764         0.638         32.084 -7.277  0.446        263.46967039285244 92       0.0695 0.0168 NCC    yes      
  n0234 31.699 -6.948 0.4291  3.41        0.555         0.376         31.7   -6.947  0.429        28.6133578272455   93       0.0537 0.0159 NCC    no       
  n0243 30.561 -7.009 0.0499  1.23        0.0391        0.0517        30.561 -7.008  0.051        3.5132049532685983 113      0.1941 0.0289 SCC    no       
  n0255 31.962 -5.206 0.1382  0.897       0.0725        0.0522        31.962 -5.206  0.15         0.0                95       0.4027 0.1487 SCC    no       
  n0260 30.973 -5.027 0.5202  5.47        2.01          1.13          30.971 -5.028  0.521        50.35885808012652  96       0.073  0.0245 NCC    yes      
  n0262 30.425 -5.031 0.2335  4.67        4.18          1.94          30.421 -5.03   0.0          55.14362457092815  114      0.05   0.019  NCC    yes      
  n0267 33.115 -6.076 0.2967  2.94        0.988         0.556         33.114 -6.075  0.296        22.579091433609573 98       0.1706 0.0669 SCC    no       
  n0269 33.22  -6.202 0.3911  5.08        3.09          1.5           33.22  -6.203  0.361        19.182771712887718 99       0.066  0.0178 NCC    yes      
  n0273 32.735 -6.2   0.4299  4.48682     1.13642       0.70275       32.735 -6.198  0.429        40.685940243076395 83       0.0703 0.024  NCC    no       
  n0274 32.767 -6.211 0.4296  4.4726      1.57425       1.3155        32.762 -6.213  0.432        109.17505176191158 84       0.0298 0.0073 NCC    yes      
  n0275 32.87  -6.196 0.4278  4.77        1.98          1.0           32.87  -6.196  0.429        0.0                85       0.1064 0.0434 WCC    no       
  n0293 36.886 -5.961 0.2327  3.5         1.2           0.814         36.887 -5.964  0.232        42.31816403469877  103      0.0686 0.0259 NCC    no       
  n0294 37.324 -5.895 0.2936  4.67        1.55          0.989         37.329 -5.887  0.291        149.41452401022602 104      0.0995 0.0373 WCC    yes      
  n0303 38.411 -5.506 0.4294  5.21        1.06          0.779         38.416 -5.511  0.451        143.24655187351627 105      0.0349 0.0068 NCC    yes      
  n0311 31.351 -5.732 0.3     3.32        0.379         0.276         31.368 -5.732  0.303        272.4367353578836  106      0.0701 0.0133 NCC    yes      
  n0320 31.354 -7.594 0.4359  2.72        0.443         0.35          31.354 -7.594  0.439        0.0                107      0.1298 0.0259 WCC    no       
  n0322 31.832 -4.827 0.2543  2.24        0.26          0.152         31.834 -4.825  0.255        40.384552224435936 108      0.1403 0.0252 WCC    yes      
  n0326 32.681 -6.588 0.04305 2.05        0.639         0.229         32.68  -6.58   0.043        24.636288804332473 115      0.0686 0.0227 NCC    yes      
  n0328 32.296 -6.346 0.4908  3.45        1.3           0.834         32.297 -6.345  0.487        30.883880183978132 109      0.6055 0.1971 SCC    no       
  n0338 33.537 -5.585 0.4453  1.59        0.124         0.123         33.534 -5.593  0.445        177.08214479767156 110      0.0257 0.0040 NCC    yes      
  n0341 33.111 -5.627 0.2986  4.53        0.588         0.463         33.112 -5.627  0.3          15.967153930683677 111      0.1377 0.0446 WCC    no       
  n0343 32.514 -5.462 0.1388  1.76        0.253         0.148         32.509 -5.468  0.138        68.89549910777325  112      0.0932 0.0155 WCC    yes      
